baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,unique_ID,NCBI.ID,Description,unique_to_sorghum,diffexpressed
42.89660459,-1.005596219,0.315642601,-3.18586977,0.001443195,0.031907879,"XM_002442636.2~Sobic.008G012400.1~2-isopropylmalate synthase A (LOC8071409), mRNA",XM_002442636.2,"2-isopropylmalate synthase A (LOC8071409), mRNA",0.7,DOWN
169.4153732,-1.036239461,0.218625016,-4.739802797,2.14E-06,0.000131071,"XM_021446212.1~Sobic.008G062200.1~2-oxoisovalerate dehydrogenase subunit alpha 2, mitochondrial-like (LOC110429745), mRNA",XM_021446212.1,"2-oxoisovalerate dehydrogenase subunit alpha 2, mitochondrial-like (LOC110429745), mRNA",0.7,DOWN
21.19595359,-1.72469908,0.460563785,-3.744756184,0.000180569,0.00578797,"XM_021462400.1~Sobic.006G101200.1~7-deoxyloganetin glucosyltransferase (LOC8073404), mRNA",XM_021462400.1,"7-deoxyloganetin glucosyltransferase (LOC8073404), mRNA",0.7,DOWN
268.6677005,-0.934333654,0.228099617,-4.096164936,4.20E-05,0.001672547,"XM_002465527.2~Sobic.001G439700.2~actin-depolymerizing factor 5 (LOC8054356), transcript variant X3, mRNA",XM_002465527.2,"actin-depolymerizing factor 5 (LOC8054356), transcript variant X3, mRNA",0.7,DOWN
29.55052992,-2.944363951,0.839338519,-3.507957615,0.000451561,0.012291342,"XM_002452096.2~Sobic.004G154000.1~anti-sigma-I factor RsgI6 (LOC8056077), mRNA",XM_002452096.2,"anti-sigma-I factor RsgI6 (LOC8056077), mRNA",0.7,DOWN
133.5507694,-1.660795827,0.433480593,-3.831303761,0.000127466,0.004275648,"XM_002437142.2~Sobic.010G173800.1~beta-galactosidase 9 (LOC8065029), mRNA",XM_002437142.2,"beta-galactosidase 9 (LOC8065029), mRNA",0.7,DOWN
60.70755029,-1.228175197,0.363399012,-3.379687771,0.000725682,0.01826128,"XM_021451371.1~Sobic.001G089000.1~beta-glucosidase BoGH3B-like (LOC110431790), transcript variant X1, mRNA",XM_021451371.1,"beta-glucosidase BoGH3B-like (LOC110431790), transcript variant X1, mRNA",0.7,DOWN
113.9885544,-0.834417348,0.25533733,-3.267901906,0.001083479,0.02548171,"XM_021465806.1~Sobic.001G089100.2~beta-glucosidase BoGH3B-like (LOC110437359), transcript variant X2, mRNA",XM_021465806.1,"beta-glucosidase BoGH3B-like (LOC110437359), transcript variant X2, mRNA",0.7,DOWN
497.9799567,-1.070550317,0.158597653,-6.750101897,1.48E-11,2.61E-09,"XM_002462822.2~Sobic.002G304000.1~beta-ureidopropionase (LOC8077442), mRNA",XM_002462822.2,"beta-ureidopropionase (LOC8077442), mRNA",0.7,DOWN
48.86333472,-2.899868432,0.811825144,-3.572035743,0.000354217,0.009934831,"XM_021462082.1~Sobic.001G447500.2~branched-chain-amino-acid aminotransferase 2, chloroplastic-like (LOC110435962), mRNA",XM_021462082.1,"branched-chain-amino-acid aminotransferase 2, chloroplastic-like (LOC110435962), mRNA",0.7,DOWN
187.3442444,-0.877343958,0.257037814,-3.413287507,0.000641842,0.016625808,"XM_002456937.2~Sobic.003G436800.1~cationic peroxidase SPC4-like (LOC8074110), mRNA",XM_002456937.2,"cationic peroxidase SPC4-like (LOC8074110), mRNA",0.7,DOWN
16.35707738,-2.026383016,0.660736815,-3.066853504,0.002163248,0.044289245,"XM_021457424.1~Sobic.003G036700.1~cytokinin dehydrogenase 1 (LOC8078740), mRNA",XM_021457424.1,"cytokinin dehydrogenase 1 (LOC8078740), mRNA",0.7,DOWN
73.96260401,-2.41080244,0.603020158,-3.997880346,6.39E-05,0.002368747,"XM_002465241.2~Sobic.001G374600.1~desiccation-related protein PCC13-62 (LOC8082665), mRNA",XM_002465241.2,"desiccation-related protein PCC13-62 (LOC8082665), mRNA",0.7,DOWN
129.9260785,-0.712428084,0.203790896,-3.495877871,0.000472505,0.012715513,"XM_002442208.2~Sobic.008G117200.1~E3 ubiquitin-protein ligase MIEL1 (LOC8066297), mRNA",XM_002442208.2,"E3 ubiquitin-protein ligase MIEL1 (LOC8066297), mRNA",0.7,DOWN
677.870609,-2.068610887,0.532349564,-3.88581306,0.000101988,0.003506021,"XM_002448062.2~Sobic.006G132400.1~endochitinase A (LOC8060193), mRNA",XM_002448062.2,"endochitinase A (LOC8060193), mRNA",0.7,DOWN
14.09051032,-2.06708998,0.674934888,-3.062650958,0.002193858,0.044750389,"XM_002464063.2~Sobic.001G142800.3~fe(2+) transport protein 1 (LOC8057181), mRNA",XM_002464063.2,"fe(2+) transport protein 1 (LOC8057181), mRNA",0.7,DOWN
29.24424779,-1.500672746,0.416223172,-3.605452186,0.00031161,0.008982587,"XM_002448153.2~Sobic.006G149700.1~heavy metal-associated isoprenylated plant protein 34 (LOC8075939), mRNA",XM_002448153.2,"heavy metal-associated isoprenylated plant protein 34 (LOC8075939), mRNA",0.7,DOWN
414.6185683,-0.644486368,0.161303522,-3.995488512,6.46E-05,0.002382157,"XM_021451023.1~Sobic.001G374400.1~heavy metal-associated isoprenylated plant protein 6-like (LOC110431685), mRNA",XM_021451023.1,"heavy metal-associated isoprenylated plant protein 6-like (LOC110431685), mRNA",0.7,DOWN
178.9693978,-0.780200008,0.242052157,-3.223272285,0.00126735,0.028747381,"XM_002437617.2~Sobic.010G001600.1~homogentisate 1,2-dioxygenase (LOC8066857), mRNA",XM_002437617.2,"homogentisate 1,2-dioxygenase (LOC8066857), mRNA",0.7,DOWN
242.8695114,-1.0542318,0.268250894,-3.930021575,8.49E-05,0.003026426,"XM_002440467.2~Sobic.009G027000.1~isovaleryl-CoA dehydrogenase, mitochondrial (LOC8071258), mRNA",XM_002440467.2,"isovaleryl-CoA dehydrogenase, mitochondrial (LOC8071258), mRNA",0.7,DOWN
29.48355777,-3.885909838,0.644843359,-6.026129885,1.68E-09,2.05E-07,"XM_021462614.1~Sobic.006G127100.1~malate synthase, glyoxysomal (LOC8073689), mRNA",XM_021462614.1,"malate synthase, glyoxysomal (LOC8073689), mRNA",0.7,DOWN
88.10931041,-0.875815423,0.259942977,-3.369259801,0.000753704,0.018834683,"XM_002442441.2~Sobic.008G160700.1~methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (LOC8076667), mRNA",XM_002442441.2,"methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (LOC8076667), mRNA",0.7,DOWN
59.58834874,-0.908413672,0.281560799,-3.226349955,0.0012538,0.028557047,"XM_002463653.2~Sobic.001G048766.1~mitochondrial pyruvate carrier 1 (LOC8061128), transcript variant X2, mRNA",XM_002463653.2,"mitochondrial pyruvate carrier 1 (LOC8061128), transcript variant X2, mRNA",0.7,DOWN
80.82372654,-0.968458811,0.298734463,-3.241871731,0.001187475,0.027301318,"XM_002443123.2~Sobic.008G094700.1~NAC domain-containing protein 83 (LOC8063245), mRNA",XM_002443123.2,"NAC domain-containing protein 83 (LOC8063245), mRNA",0.7,DOWN
371.9083681,-3.016876424,0.97853127,-3.083065932,0.002048798,0.042469706,"XM_002456475.2~Sobic.003G331700.1~pathogenesis-related protein (LOC8055281), mRNA",XM_002456475.2,"pathogenesis-related protein (LOC8055281), mRNA",0.7,DOWN
34.44528366,-1.502211919,0.464206498,-3.236085507,0.001211811,0.027752974,"XM_002452173.2~Sobic.004G167800.3~pectinesterase inhibitor 8 (LOC8061017), mRNA",XM_002452173.2,"pectinesterase inhibitor 8 (LOC8061017), mRNA",0.7,DOWN
88.90768222,-0.994509752,0.262467883,-3.78907217,0.000151211,0.004942337,"XM_002445441.2~Sobic.007G126100.1~probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 9 (LOC8075095), transcript variant X1, mRNA",XM_002445441.2,"probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 9 (LOC8075095), transcript variant X1, mRNA",0.7,DOWN
60.61684307,-1.128655598,0.321217333,-3.51368212,0.000441941,0.012108901,"XM_002441238.2~Sobic.009G177400.1~probable leucine-rich repeat receptor-like protein kinase At5g49770 (LOC8064154), mRNA",XM_002441238.2,"probable leucine-rich repeat receptor-like protein kinase At5g49770 (LOC8064154), mRNA",0.7,DOWN
23.55372186,-1.405527942,0.417136848,-3.369464838,0.000753143,0.018834683,"XM_021455688.1~Sobic.003G335000.1~probable leucine-rich repeat receptor-like protein kinase At5g49770 (LOC8085390), mRNA",XM_021455688.1,"probable leucine-rich repeat receptor-like protein kinase At5g49770 (LOC8085390), mRNA",0.7,DOWN
845.1801065,-1.083890506,0.244039112,-4.441462254,8.93E-06,0.00045093,"XM_002441467.2~Sobic.009G231300.1~protein DEHYDRATION-INDUCED 19 (LOC8063592), mRNA",XM_002441467.2,"protein DEHYDRATION-INDUCED 19 (LOC8063592), mRNA",0.7,DOWN
79.14501998,-1.190533554,0.374378253,-3.180028602,0.001472605,0.032471628,"XM_021460082.1~Sobic.004G169700.1~protein IDA-LIKE 2 (LOC8064238), mRNA",XM_021460082.1,"protein IDA-LIKE 2 (LOC8064238), mRNA",0.7,DOWN
72.0519771,-1.211159336,0.271610606,-4.459175418,8.23E-06,0.000417769,"XM_002467056.2~Sobic.001G223100.1~protein NRT1/ PTR FAMILY 5.2 (LOC8067439), transcript variant X2, mRNA",XM_002467056.2,"protein NRT1/ PTR FAMILY 5.2 (LOC8067439), transcript variant X2, mRNA",0.7,DOWN
3358.292789,-0.681439739,0.222994652,-3.055856874,0.002244184,0.04544198,"XM_021454222.1~Sobic.002G324200.1~protein translation factor SUI1 homolog (LOC110432939), mRNA",XM_021454222.1,"protein translation factor SUI1 homolog (LOC110432939), mRNA",0.7,DOWN
167.5959074,-0.651005942,0.199660838,-3.260558998,0.001111928,0.025894382,"XM_021449305.1~Sobic.010G276800.1~putative disease resistance RPP13-like protein 1 (LOC8066389), mRNA",XM_021449305.1,"putative disease resistance RPP13-like protein 1 (LOC8066389), mRNA",0.7,DOWN
81.7191276,-1.115275412,0.355133681,-3.140438296,0.001686952,0.036424132,"XM_021458884.1~Sobic.004G074500.1~sodium-coupled neutral amino acid transporter 1-like (LOC110434582), mRNA",XM_021458884.1,"sodium-coupled neutral amino acid transporter 1-like (LOC110434582), mRNA",0.7,DOWN
37.5459564,-1.296946289,0.366025026,-3.543326813,0.000395113,0.010970655,"XM_021455237.1~Sobic.001G190200.1~sugar carrier protein C (LOC8065140), mRNA",XM_021455237.1,"sugar carrier protein C (LOC8065140), mRNA",0.7,DOWN
185.8947288,-0.672872711,0.181298178,-3.711414642,0.000206104,0.00643262,"XM_021457161.1~Sobic.003G008500.1~target of Myb protein 1 (LOC8078110), mRNA",XM_021457161.1,"target of Myb protein 1 (LOC8078110), mRNA",0.7,DOWN
498.5235388,-0.80484987,0.182069383,-4.420566797,9.84E-06,0.000488079,"XM_002439117.2~Sobic.009G016600.1~transcription factor MYB21 (LOC8068692), mRNA",XM_002439117.2,"transcription factor MYB21 (LOC8068692), mRNA",0.7,DOWN
118.6264874,-1.368986043,0.314811853,-4.348584812,1.37E-05,0.000644493,"XM_021463261.1~Sobic.006G233500.4~transcription factor TGAL6-like (LOC110436358), transcript variant X1, mRNA",XM_021463261.1,"transcription factor TGAL6-like (LOC110436358), transcript variant X1, mRNA",0.7,DOWN
